species,island,bill_length_mm,flipper_length_mm,body_mass_g
Adelie,Torgersen,39.1,181,3750
Adelie,Torgersen,39.5,186,3800
Adelie,Torgersen,40.3,195,3250
Adelie,Torgersen,36.7,193,3450
Adelie,Torgersen,39.3,190,3650
Adelie,Torgersen,38.9,181,3625
Adelie,Torgersen,39.2,195,4675
Adelie,Torgersen,34.1,193,3475
Adelie,Torgersen,42,190,4250
Adelie,Torgersen,37.8,186,3300
Adelie,Torgersen,37.8,180,3700
Adelie,Torgersen,41.1,182,3200
Adelie,Torgersen,38.6,191,3800
Adelie,Torgersen,34.6,198,4400
Adelie,Torgersen,36.6,185,3700
Adelie,Torgersen,38.7,195,3450
Adelie,Torgersen,42.5,197,4500
Adelie,Torgersen,34.4,184,3325
Adelie,Torgersen,46,194,4200
Adelie,Biscoe,37.8,174,3400
Adelie,Biscoe,37.7,180,3600
Adelie,Biscoe,35.9,189,3800
Adelie,Biscoe,38.2,185,3950
Adelie,Biscoe,38.8,180,3800
Adelie,Biscoe,35.3,187,3800
Adelie,Biscoe,40.6,183,3550
Adelie,Biscoe,40.5,187,3200
Adelie,Biscoe,37.9,172,3150
Adelie,Biscoe,40.5,180,3950
Adelie,Dream,39.5,178,3250
Adelie,Dream,37.2,178,3900
Adelie,Dream,39.5,188,3300
Adelie,Dream,40.9,184,3900
Adelie,Dream,36.4,195,3325
Adelie,Dream,39.2,196,4150
Adelie,Dream,38.8,190,3950
Adelie,Dream,42.2,180,3550
Adelie,Dream,37.6,181,3300
Adelie,Dream,39.8,184,4650
Adelie,Dream,36.5,182,3150
Adelie,Dream,40.8,195,3900
Adelie,Dream,36,186,3100
Adelie,Dream,44.1,196,4400
Adelie,Dream,37,185,3000
Adelie,Dream,39.6,190,4600
Adelie,Dream,41.1,182,3425
Adelie,Dream,37.5,179,2975
Adelie,Dream,36,190,3450
Adelie,Dream,42.3,191,4150
Adelie,Biscoe,39.6,186,3500
Adelie,Biscoe,40.1,188,4300
Adelie,Biscoe,35,190,3450
Adelie,Biscoe,42,200,4050
Adelie,Biscoe,34.5,187,2900
Adelie,Biscoe,41.4,191,3700
Adelie,Biscoe,39,186,3550
